"(F005-05-2-002)品目 コード","(F005-05-2-002)品目 補助コード","品目","作付面積、収穫量及び出荷量","作付面積【ha】","収穫量【t】","出荷量【t】"
"1001","","計","","151,600","6,611,000","6,061,000"
"1002","","だいこん","","7,920","433,300","402,200"
"1003","","だいこん_春","","1,090","63,500","60,600"
"1004","","だいこん_夏","","3,160","137,700","129,700"
"1005","","だいこん_秋冬","","3,660","232,100","211,900"
"1006","","にんじん","","10,700","417,000","386,200"
"1007","","にんじん_春夏","","2,490","111,000","103,400"
"1008","","にんじん_秋","","3,990","146,700","136,500"
"1009","","にんじん_冬","","4,240","159,300","146,300"
"1010","","ばれいしょ（じゃがいも）","","48,700","1,821,000","1,634,000"
"1011","","秋冬さといも","","1,350","26,900","21,300"
"1012","","はくさい","","5,740","427,200","390,100"
"1013","","はくさい_春","","869","65,400","61,900"
"1014","","はくさい_夏","","1,850","148,100","136,100"
"1015","","はくさい_秋冬","","3,020","213,700","192,100"
"1016","","キャベツ","","17,400","864,900","791,300"
"1017","","キャベツ_春","","3,170","141,900","132,500"
"1018","","キャベツ_夏秋","","6,630","373,700","330,300"
"1019","","キャベツ_冬","","7,620","349,300","328,500"
"1020","","ほうれんそう","","5,860","59,000","53,000"
"1021","","レタス","","14,600","428,700","410,900"
"1022","","レタス_春","","2,140","60,800","58,300"
"1023","","レタス_夏秋","","7,030","231,800","224,700"
"1024","","レタス_冬","","5,420","136,100","127,900"
"1025","","ねぎ","","5,610","115,200","101,000"
"1026","","ねぎ_春","","744","17,900","16,600"
"1027","","ねぎ_夏","","1,230","26,300","23,700"
"1028","","ねぎ_秋冬","","3,630","71,000","60,700"
"1029","","たまねぎ","","20,400","1,019,000","951,400"
"1030","","きゅうり","","4,510","334,500","303,600"
"1031","","きゅうり_冬春","","1,670","205,300","193,600"
"1032","","きゅうり_夏秋","","2,850","129,200","110,000"
"1033","","なす","","1,990","150,100","136,800"
"1034","","なす_冬春","","811","98,900","93,600"
"1035","","なす_夏秋","","1,180","51,200","43,200"
"1036","","トマト","","5,460","417,400","389,400"
"1037","","トマト_冬春","","2,170","245,100","233,900"
"1038","","トマト_夏秋","","3,290","172,300","155,500"
"1039","","ピーマン","","1,330","96,700","90,100"
"1040","","ピーマン_冬春","","608","65,700","62,100"
"1041","","ピーマン_夏秋","","719","31,000","28,000"
